Date,Open,High,Low,Close,Volume,Adj Close
2010-01-08,158.07,160.0,155.8,159.0,414700,159.0
2010-01-11,160.95,165.0,159.15,160.21,234600,160.21
2010-01-12,159.04,160.39,155.08,157.16,435700,157.16
2010-01-13,157.24,158.15,155.6,158.03,367000,158.03
2010-01-14,160.13,161.85,159.72,161.45,228500,161.45
2010-01-15,160.68,161.25,159.5,160.25,189900,160.25
2010-01-19,162.23,165.2,162.17,165.12,295900,165.12
2010-01-20,163.51,163.51,159.09,163.22,438200,163.22
2010-01-21,161.86,162.5,159.12,159.79,247600,159.79
2010-01-22,154.84,155.97,152.26,154.88,190100,154.88
2010-01-25,154.72,155.2,153.93,155.19,164800,155.19
2010-01-26,150.9,153.64,150.8,153.52,387600,153.52
2010-01-27,152.45,153.2,148.27,149.99,247400,149.99
2010-01-28,152.08,152.08,148.66,151.21,179800,151.21
2010-01-29,151.12,152.43,149.43,150.47,127600,150.47
2010-02-01,152.19,155.08,152.0,155.06,110600,155.06
2010-02-02,156.07,158.42,155.49,158.4,176500,158.4
2010-02-03,158.01,158.89,156.6,157.7,77200,157.7
2010-02-04,154.55,155.15,149.81,150.41,181600,150.41
2010-02-05,147.99,149.0,145.14,148.02,254900,148.02
2010-02-08,147.86,148.48,146.98,147.1,91100,147.1
2010-02-09,149.95,151.21,148.79,150.25,109700,150.25
2010-02-10,150.92,151.49,149.25,151.34,58800,151.34
2010-02-11,150.37,152.95,149.65,152.94,81000,152.94
2010-02-12,150.32,151.52,148.96,151.45,52500,151.45
2010-02-16,153.51,154.3,152.9,153.7,127700,153.7
2010-02-17,154.62,154.82,152.57,153.12,97100,153.12
2010-02-18,153.16,153.42,151.69,153.23,88800,153.23
2010-02-19,151.51,154.37,151.0,153.37,89800,153.37
2010-02-22,153.7,153.7,151.67,152.57,56400,152.57
2010-02-23,152.3,152.3,150.52,151.46,105100,151.46
2010-02-24,150.83,151.52,150.37,150.37,92300,150.37
2010-02-25,150.84,153.11,150.84,153.11,96600,153.11
2010-02-26,153.4,154.29,152.69,154.08,27800,154.08
2010-03-01,155.0,155.42,154.12,154.65,90500,154.65
2010-03-02,156.54,157.69,156.21,157.0,173600,157.0
2010-03-03,157.98,158.65,157.46,157.75,67500,157.75
2010-03-04,157.59,158.29,156.78,158.21,205200,158.21
2010-03-05,157.86,158.52,157.29,157.62,82300,157.62
2010-03-08,160.24,160.33,158.43,159.82,106900,159.82
2010-03-09,158.07,159.82,158.03,158.91,130000,158.91
2010-03-10,160.18,161.59,157.79,159.38,182900,159.38
2010-03-11,158.74,161.04,158.34,161.02,38700,161.02
2010-03-12,161.53,162.01,159.88,160.54,52500,160.54
2010-03-15,161.45,162.1,160.49,161.99,61900,161.99
2010-03-16,162.42,163.19,162.16,163.08,75300,163.08
2010-03-17,163.64,163.84,162.61,162.68,70000,162.68
2010-03-18,162.87,163.25,162.27,162.53,13600,162.53
2010-03-19,160.77,162.01,159.84,160.77,213300,160.77
2010-03-22,157.61,160.0,157.23,159.56,138000,159.56
2010-03-23,159.52,160.73,159.28,160.73,79700,160.73
2010-03-24,158.44,158.91,157.64,157.72,137900,157.72
2010-03-25,159.2,160.78,158.87,160.02,163900,160.02
2010-03-26,159.98,159.98,159.0,159.53,171200,159.53
2010-03-29,161.52,162.82,160.96,162.8,156400,162.8
2010-03-30,162.18,162.25,161.46,161.95,56400,161.95
2010-03-31,164.39,164.74,163.7,164.29,110500,164.29
2010-04-01,165.85,167.18,165.74,166.77,81700,166.77
2010-04-05,168.34,170.43,168.12,170.43,99100,170.43
2010-04-06,169.94,170.63,169.66,170.04,69400,170.04
2010-04-07,171.35,171.84,170.0,170.18,74800,170.18
2010-04-08,169.85,171.43,169.63,171.16,55800,171.16
2010-04-09,171.62,172.49,171.19,172.49,53700,172.49
2010-04-12,172.62,173.7,172.18,172.19,38400,172.19
2010-04-13,171.69,171.69,170.09,171.36,47200,171.36
2010-04-14,172.49,172.81,171.95,172.53,70000,172.53
2010-04-15,171.84,172.49,171.63,171.74,26600,171.74
2010-04-16,170.97,171.47,168.15,169.0,80600,169.0
2010-04-19,168.03,169.67,168.03,169.66,47400,169.66
2010-04-20,171.52,172.19,171.14,171.32,25100,171.32
2010-04-21,173.46,173.71,172.59,173.1,27100,173.1
2010-04-22,173.27,174.33,171.91,174.3,29800,174.3
2010-04-23,172.45,174.02,171.91,173.83,50600,173.83
2010-04-26,174.82,174.92,173.26,174.3,47200,174.3
2010-04-27,172.72,173.51,170.84,171.95,64400,171.95
2010-04-28,170.97,171.04,170.21,170.7,58800,170.7
2010-04-29,170.97,173.19,170.96,172.69,55100,172.69
2010-04-30,173.85,174.25,172.94,173.55,99700,173.55
2010-05-03,173.78,173.85,171.74,172.08,40600,172.08
2010-05-04,170.03,170.03,166.98,166.99,187800,166.99
2010-05-05,163.0,165.84,162.06,164.39,131100,164.39
2010-05-06,166.2,167.43,162.5,164.53,177000,164.53
2010-05-07,165.22,166.3,163.95,166.21,108700,166.21
2010-05-10,169.08,169.27,168.35,169.16,73300,169.16
2010-05-11,168.88,169.78,168.25,169.58,82600,169.58
