Date,Open,High,Low,Close,Volume,Adj Close
2013-04-11,15.14,18.79,15.11,18.79,4500200,18.79
2013-04-12,18.01,18.69,17.59,18.17,175000,18.17
2013-04-15,18.44,18.44,17.66,18.42,46100,18.42
2013-04-16,18.75,19.44,17.65,19.25,75700,19.25
2013-04-17,19.27,19.65,18.11,18.75,66800,18.75
2013-04-18,18.7,19.0,18.33,18.87,106100,18.87
2013-04-19,18.75,19.5,18.74,18.82,122500,18.82
2013-04-22,18.58,18.92,18.11,18.92,29300,18.92
2013-04-23,18.81,19.47,18.72,19.33,42400,19.33
2013-04-24,19.21,19.54,18.75,19.35,21800,19.35
2013-04-25,19.01,19.17,18.8,19.1,28100,19.1
2013-04-26,18.99,18.99,18.57,18.9,30100,18.9
2013-04-29,18.79,19.03,18.56,19.02,26100,19.02
2013-04-30,18.9,20.5,18.56,19.93,27500,19.93
2013-05-01,20.14,21.0,19.91,20.45,71800,20.45
2013-05-02,20.66,20.66,20.45,20.49,43800,20.49
2013-05-03,21.5,21.5,20.41,20.95,23700,20.95
2013-05-06,21.5,22.25,20.7,20.92,182600,20.92
2013-05-07,20.92,21.77,19.65,20.52,90000,20.52
2013-05-08,20.01,20.39,19.6,19.94,163200,19.94
2013-05-09,20.5,20.5,19.57,19.6,71800,19.6
2013-05-10,19.69,20.68,19.69,20.05,102600,20.05
2013-05-13,20.88,20.88,20.25,20.47,85600,20.47
2013-05-14,20.64,20.88,20.37,20.7,34600,20.7
2013-05-15,20.77,20.78,20.15,20.25,154000,20.25
2013-05-16,20.21,20.67,19.63,20.07,72600,20.07
2013-05-17,20.03,20.03,19.51,19.78,51400,19.78
2013-05-20,20.08,20.22,19.84,20.01,17700,20.01
2013-05-21,20.09,20.38,20.09,20.12,11200,20.12
2013-05-22,20.27,20.6,20.01,20.39,25400,20.39
2013-05-23,20.38,20.74,20.28,20.74,17200,20.74
2013-05-24,20.7,22.54,20.7,21.81,24800,21.81
2013-05-28,22.15,22.5,21.52,21.9,80500,21.9
2013-05-29,21.98,22.99,20.64,21.96,65300,21.96
2013-05-30,22.71,22.71,21.41,22.07,43600,22.07
2013-05-31,22.08,22.49,21.34,21.5,36000,21.5
2013-06-03,21.56,22.98,21.3,21.99,50800,21.99
2013-06-04,22.1,22.5,21.62,21.97,18000,21.97
2013-06-05,22.03,22.74,21.6,21.75,36200,21.75
2013-06-06,23.97,23.97,21.86,22.07,16300,22.07
2013-06-07,22.64,22.64,21.77,22.24,35000,22.24
2013-06-10,22.49,23.35,22.35,22.9,60500,22.9
2013-06-11,22.0,24.0,22.0,23.72,21400,23.72
2013-06-12,23.98,23.98,22.7,23.9,20500,23.9
2013-06-13,23.89,25.1,22.42,22.96,67800,22.96
2013-06-14,22.88,22.99,21.65,21.79,17700,21.79
2013-06-17,21.91,22.37,20.52,20.6,82400,20.6
2013-06-18,20.5,21.39,20.5,21.35,65900,21.35
2013-06-19,21.1,23.9,20.83,22.87,71000,22.87
2013-06-20,22.58,23.55,20.81,22.32,62200,22.32
2013-06-21,23.34,23.93,22.67,22.67,142500,22.67
2013-06-24,22.67,22.67,20.81,22.05,78400,22.05
2013-06-25,22.1,23.41,20.96,22.17,39200,22.17
2013-06-26,22.18,23.37,21.78,23.25,98300,23.25
2013-06-27,23.49,24.52,22.25,23.91,95100,23.91
2013-06-28,24.02,24.25,22.81,24.24,1145500,24.24
2013-07-01,24.09,25.04,22.84,24.24,59600,24.24
2013-07-02,24.72,24.72,23.7,24.23,13600,24.23
2013-07-03,24.48,24.5,24.05,24.5,5000,24.5
2013-07-05,24.81,24.81,23.52,24.32,16500,24.32
2013-07-08,24.46,24.5,24.19,24.37,18400,24.37
2013-07-09,24.52,24.52,23.3,24.49,18900,24.49
2013-07-10,24.26,24.51,24.19,24.35,42700,24.35
2013-07-11,24.65,24.85,23.74,24.13,17300,24.13
2013-07-12,24.18,24.5,23.82,24.01,22500,24.01
2013-07-15,24.06,24.55,23.91,24.44,18200,24.44
2013-07-16,24.44,24.5,24.1,24.43,25700,24.43
2013-07-17,24.44,24.52,24.12,24.51,28800,24.51
2013-07-18,24.49,24.49,23.56,24.26,38300,24.26
2013-07-19,24.15,25.02,23.38,24.55,36600,24.55
2013-07-22,25.64,26.5,24.62,24.85,149200,24.85
2013-07-23,24.94,27.0,24.75,24.75,45300,24.75
2013-07-24,24.93,25.73,24.62,24.93,182700,24.93
2013-07-25,24.97,25.57,24.75,25.05,36700,25.05
2013-07-26,25.1,25.7,25.0,25.1,188600,25.1
2013-07-29,25.13,26.1,23.9,24.27,50300,24.27
2013-07-30,24.44,24.95,23.56,24.02,72400,24.02
2013-07-31,23.95,24.29,22.1,22.74,140900,22.74
2013-08-01,23.03,23.92,20.34,22.04,139700,22.04
2013-08-02,22.04,22.19,21.15,21.28,29800,21.28
2013-08-05,21.34,21.34,20.52,20.64,44900,20.64
2013-08-06,20.64,20.92,20.26,20.41,45800,20.41
2013-08-07,20.33,20.46,18.83,19.25,61700,19.25
2013-08-08,19.34,19.99,18.86,19.19,43700,19.19
2013-08-09,19.2,19.91,18.04,18.05,39400,18.05
