Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,5.25,5.25,5.25,5.25,0,2.62
2012-02-08,6.24,6.24,6.24,6.24,5000,3.12
2012-02-09,6.24,6.24,6.24,6.24,0,3.12
2012-02-10,6.24,6.24,6.24,6.24,0,3.12
2012-02-13,6.24,6.24,6.24,6.24,0,3.12
2012-02-14,6.24,6.24,6.24,6.24,0,3.12
2012-02-15,6.24,6.24,6.24,6.24,0,3.12
2012-02-16,5.0,5.0,5.0,5.0,800,2.5
2012-02-17,5.0,5.0,5.0,5.0,0,2.5
2012-02-21,5.0,5.0,5.0,5.0,0,2.5
2012-02-22,5.0,5.0,5.0,5.0,0,2.5
2012-02-23,5.0,5.0,5.0,5.0,0,2.5
2012-02-24,5.0,5.0,5.0,5.0,0,2.5
2012-02-27,5.0,5.0,5.0,5.0,0,2.5
2012-02-28,5.0,5.0,5.0,5.0,0,2.5
2012-02-29,5.0,5.0,5.0,5.0,0,2.5
2012-03-01,6.0,6.0,6.0,6.0,2400,3.0
2012-03-02,6.0,6.0,6.0,6.0,0,3.0
2012-03-05,6.0,6.0,6.0,6.0,0,3.0
2012-03-06,6.0,6.0,6.0,6.0,0,3.0
2012-03-07,6.0,6.0,6.0,6.0,0,3.0
2012-03-08,6.0,6.0,6.0,6.0,0,3.0
2012-03-09,6.0,6.0,6.0,6.0,0,3.0
2012-03-12,6.0,6.0,6.0,6.0,0,3.0
2012-03-13,6.0,6.0,6.0,6.0,0,3.0
2012-03-14,6.0,6.0,6.0,6.0,0,3.0
2012-03-15,6.0,6.0,6.0,6.0,0,3.0
2012-03-16,5.5,5.5,5.5,5.5,4000,2.75
2012-03-19,5.5,5.5,5.5,5.5,0,2.75
2012-03-20,5.5,5.5,5.5,5.5,0,2.75
2012-03-21,4.95,4.95,4.95,4.95,200,2.47
2012-03-22,4.95,4.95,4.95,4.95,0,2.47
2012-03-23,4.95,4.95,4.95,4.95,0,2.47
2012-03-26,4.95,4.95,4.95,4.95,0,2.47
2012-03-27,4.95,4.95,4.95,4.95,0,2.47
2012-03-28,4.95,4.95,4.95,4.95,0,2.47
2012-03-29,4.95,4.95,4.95,4.95,0,2.47
2012-03-30,4.95,4.95,4.95,4.95,0,2.47
2012-04-02,4.95,4.95,4.95,4.95,0,2.47
2012-04-03,4.95,4.95,4.95,4.95,0,2.47
2012-04-04,4.95,4.95,4.95,4.95,0,2.47
2012-04-05,4.95,4.95,4.95,4.95,0,2.47
2012-04-09,4.95,4.95,4.95,4.95,0,2.47
2012-04-10,4.95,4.95,4.95,4.95,0,2.47
2012-04-11,4.95,4.95,4.95,4.95,0,2.47
2012-04-12,4.95,4.95,4.95,4.95,0,2.47
2012-04-13,4.95,4.95,4.95,4.95,0,2.47
2012-04-16,4.95,4.95,4.95,4.95,0,2.47
2012-04-17,4.95,4.95,4.95,4.95,0,2.47
2012-04-18,4.95,4.95,4.95,4.95,0,2.47
2012-04-19,4.95,4.95,4.95,4.95,0,2.47
2012-04-20,4.95,4.95,4.95,4.95,0,2.47
2012-04-23,4.95,4.95,4.95,4.95,0,2.47
2012-04-24,4.95,4.95,4.95,4.95,0,2.47
2012-04-25,4.95,4.95,4.95,4.95,0,2.47
2012-04-26,4.95,4.95,4.95,4.95,0,2.47
2012-04-27,4.95,4.95,4.95,4.95,0,2.47
2012-04-30,4.95,4.95,4.95,4.95,0,2.47
2012-05-01,4.95,4.95,4.95,4.95,0,2.47
2012-05-02,4.95,4.95,4.95,4.95,0,2.47
2012-05-03,4.95,4.95,4.95,4.95,0,2.47
2012-05-04,4.95,4.95,4.95,4.95,0,2.47
2012-05-07,4.95,4.95,4.95,4.95,0,2.47
2012-05-08,4.95,4.95,4.95,4.95,0,2.47
2012-05-09,4.95,4.95,4.95,4.95,0,2.47
2012-05-10,5.5,5.5,5.5,5.5,3000,2.75
2012-05-11,5.5,5.5,5.5,5.5,0,2.75
2012-05-14,5.05,5.05,5.05,5.05,400,2.53
2012-05-15,5.05,5.05,5.05,5.05,0,2.53
2012-05-16,5.05,5.05,5.05,5.05,0,2.53
2012-05-17,5.05,5.05,5.05,5.05,0,2.53
2012-05-18,5.05,5.05,5.05,5.05,0,2.53
2012-05-21,5.05,5.05,5.05,5.05,0,2.53
2012-05-22,5.05,5.05,5.05,5.05,0,2.53
2012-05-23,5.05,5.05,5.05,5.05,0,2.53
2012-05-24,5.05,5.05,5.05,5.05,0,2.53
2012-05-25,4.0,4.0,4.0,4.0,2800,2.0
2012-05-29,4.0,4.0,4.0,4.0,0,2.0
2012-05-30,4.0,4.0,4.0,4.0,0,2.0
2012-05-31,4.0,4.0,4.0,4.0,0,2.0
2012-06-01,4.0,4.0,4.0,4.0,0,2.0
2012-06-04,4.0,4.0,4.0,4.0,0,2.0
2012-06-05,4.0,4.0,4.0,4.0,0,2.0
2012-06-06,4.0,4.0,4.0,4.0,0,2.0
2012-06-07,4.0,4.0,4.0,4.0,0,2.0
2012-06-08,4.0,4.0,4.0,4.0,0,2.0
2012-06-11,4.0,4.0,4.0,4.0,0,2.0
2012-06-12,4.0,4.0,4.0,4.0,0,2.0
2012-06-13,4.0,4.0,4.0,4.0,0,2.0
2012-06-14,3.5,3.5,3.5,3.5,1200,1.75
2012-06-15,3.5,3.5,3.5,3.5,0,1.75
2012-06-18,3.5,3.5,3.5,3.5,0,1.75
2012-06-19,3.5,3.5,3.5,3.5,0,1.75
2012-06-20,3.5,3.5,3.5,3.5,0,1.75
2012-06-21,3.5,3.5,3.5,3.5,0,1.75
2012-06-22,3.5,3.5,3.5,3.5,0,1.75
2012-06-25,3.5,3.5,3.5,3.5,0,1.75
2012-06-26,3.5,3.5,3.5,3.5,0,1.75
2012-06-27,3.5,3.5,3.5,3.5,0,1.75
2012-06-28,3.5,3.5,3.5,3.5,0,1.75
2012-06-29,3.5,3.5,3.5,3.5,0,1.75
2012-07-02,3.5,3.5,3.5,3.5,0,1.75
2012-07-03,3.5,3.5,3.5,3.5,0,1.75
2012-07-05,3.5,3.5,3.5,3.5,0,1.75
2012-07-06,3.5,3.5,3.5,3.5,0,1.75
2012-07-09,3.5,3.5,3.5,3.5,0,1.75
2012-07-10,3.5,3.5,3.5,3.5,0,1.75
2012-07-11,3.5,3.5,3.5,3.5,0,1.75
2012-07-12,3.5,3.5,3.5,3.5,0,1.75
2012-07-13,3.5,3.5,3.5,3.5,0,1.75
2012-07-16,3.5,3.5,3.5,3.5,0,1.75
